id,flight_name,flight_price,flight_wines_count,flight_duration,flight_type,flight_food_included,flight_reservation_required,flight_description
ferrari-carano,Sunday Brunch,95,4,120,seated,TRUE,TRUE,Italian-inspired brunch menu
chateau-st-jean,Estate Tasting,45,5,45,bar,FALSE,FALSE,Classic wines with garden views
chalk-hill-estate,Estate Experience,85,5,75,seated,TRUE,TRUE,Food paired estate tour
chalk-hill-estate,Helicopter Tour,450,6,180,tour,TRUE,TRUE,Aerial vineyard experience
roth-estate,Classic Tasting,40,5,45,bar,FALSE,FALSE,Alexander Valley focus
roth-estate,Adults at Play,55,5,90,seated,TRUE,FALSE,First Friday music and BBQ
banshee-wines,Flight Tasting,30,4,30,bar,FALSE,FALSE,Downtown casual vibes
banshee-wines,Private Tasting,50,5,45,seated,FALSE,TRUE,Guided experience
kendall-jackson,Signature Tasting,40,3,45,bar,FALSE,FALSE,Three signature wines
kendall-jackson,Jackson Estate Tasting,60,4,60,seated,FALSE,TRUE,Estate collection with cheese add-on
kendall-jackson,Chef's Small Plates,95,5,75,seated,TRUE,TRUE,Seasonal bites from culinary garden
kendall-jackson,Five Course Pairing,145,5,120,seated,TRUE,TRUE,Farm-to-table excellence
matanzas-creek,Journey Tasting,75,5,75,seated,FALSE,TRUE,Pinnacle wines with library
la-crema,Saralee's Tasting,45,5,60,seated,FALSE,FALSE,Estate vineyard wines
la-crema,Reserve Experience,65,5,75,seated,FALSE,TRUE,Single-vineyard deep dive
hartford-family,Hartford Court,65,5,75,seated,FALSE,TRUE,Single-vineyard Pinot focus
copain-wines,Copain Tasting,60,5,60,seated,FALSE,TRUE,Cool climate wines
francis-ford-coppola,Director's Cut Experience,65,5,75,seated,TRUE,TRUE,Premium wines with food
gundlach-bundschu,Bundschu Signature,40,5,45,bar,FALSE,FALSE,California's oldest family winery
gundlach-bundschu,Cave Tour,65,5,75,tour,FALSE,TRUE,Historic cave experience
rodney-strong,Classic Tasting,35,5,45,bar,FALSE,FALSE,Carbon neutral winery
rodney-strong,Reserve Experience,55,5,60,seated,FALSE,TRUE,Single-vineyard wines
j-vineyards,Bubble Room,45,4,45,bar,FALSE,FALSE,Sparkling wine focus
j-vineyards,Multi-Course Pairing,135,5,120,seated,TRUE,TRUE,Food-focused journey
cline-family-cellars,Classic Tasting,0,6,30,bar,FALSE,FALSE,"Free tasting, historic setting"
cline-family-cellars,Premium Tasting,25,6,45,bar,FALSE,FALSE,Reserve wines
imagery-estate,Art & Wine,35,5,45,bar,FALSE,FALSE,Unique varietals with art
kunde-family,Estate Tasting,40,5,45,bar,FALSE,FALSE,Five generations
kunde-family,Mountain Top,75,5,90,tour,FALSE,TRUE,Panoramic view tasting
merry-edwards,Estate Experience,75,5,75,seated,FALSE,TRUE,Legendary Pinot Noir
twomey-cellars,Pinot Experience,55,5,60,seated,FALSE,FALSE,Single-vineyard focus
lynmar-estate,Passport Tasting,65,5,60,seated,FALSE,TRUE,Estate wines with garden stroll
lynmar-estate,Chef's Pairing,125,5,90,seated,TRUE,TRUE,Culinary excellence
alexander-valley-vineyards,Cave Tour,35,5,60,tour,FALSE,FALSE,Historic cave experience
porter-creek,Creek-side Tasting,25,5,30,bar,FALSE,FALSE,Organic/biodynamic
bella-winery,Cave Tasting,40,5,60,seated,FALSE,TRUE,Zinfandel in caves
macrostie-winery,Hilltop Tasting,50,5,60,seated,FALSE,TRUE,Panoramic views
medlock-ames,Bell Mountain,55,5,60,seated,FALSE,TRUE,Organic estate
verite-winery,Estate Tasting,250,4,120,seated,TRUE,TRUE,Three current vintage wines plus one library vintage
verite-winery,Library Comparison Tasting,350,6,150,seated,TRUE,TRUE,Three current plus three library vintages
verite-winery,Library Wine & Food Pairing,450,6,180,seated,TRUE,TRUE,Six wines with seasonal chef dishes
